id	label	relation	in	label_relation	label_in
wd:Q3057005	Ernest Hildesheimer	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3057041	Ernest Laurain	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3059981	Eugène Lefèvre-Pontalis	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3060243	Eugène de Robillard de Beaurepaire	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3060246	Eugène de Rozière	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3069048	Fernand Benoit	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3069065	Fernand Bournon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3081674	Francis Salet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3082628	Frank Giroud	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3084530	François Dupuigrenet Desroussilles	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3084576	François Eygun	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3085002	François de Vaux de Foletier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3086159	François de Clermont-Tonnerre	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3086514	Françoise Hildesheimer	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3086627	Françoise Waquet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3089925	Frédéric Joüon des Longrais	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3092386	Félix Bourquelot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3092455	Félix Grat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3092589	Félix Reynaud	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3092592	Félix Rocquain	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3093731	Gabriel Esquer	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3093772	Gabriel Henriot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3291312	Marianne Mahn-Lot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3291511	Marie-Anne Chabin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3291723	Marie-Claude Guigue	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3292118	Marie-Madeleine Martin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3292283	Marie-Thérèse d'Alverny	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3293111	Étienne Charavay	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3293561	Mario Schiff	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3293856	Marius Sepet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3295243	Martial Delpit	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3300516	Maurice Caillet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3301297	Maurice Prou	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3308875	Michel Antoine	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3309525	Michel Duchein	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3309634	Michel Fleury	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3309670	Michel François	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3310336	Michel Melot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3311147	Michel de Boüard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3320909	Monique Pelletier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3341054	Nicole Gotteri	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3345898	Noël Valois	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3348837	Octave Join-Lambert	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3351082	Olivier Guyotjeannin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3351290	Olivier Poncet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3367657	Pascale Bourgain	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3370238	Paul-André Lemoisne	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3370333	Paul-Louis Grenier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3370706	Paul Boudet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3370861	Paul Chevreux	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3370932	Paul Cornu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3371051	Paul Deschamps	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3371226	Paul Fournier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3371604	Paul Lacombe	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3371955	Paul Parfouru	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3372077	Paul Raymond	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3384053	Pierre Boisard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3384295	Pierre Caron	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3384881	Pierre Durye	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3385482	Pierre Héliot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3385914	Pierre Lelièvre	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3386153	Pierre Marot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3386671	Pierre Pradel	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3387719	Pierre de Vaissière	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3419136	Raoul Busquet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3420767	Raymond Collier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3420797	Raymond Delatouche	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3421078	Raymond Oursel	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3425714	René-Norbert Sauvage	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3426379	René Héron de Villefosse	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3426626	René Merlet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3427057	René de Lespinasse	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3434784	Robert de Lasteyrie	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3435854	Robert Marichal	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3439046	Roger Grand	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3455802	Régis de Saint-Jouan	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q3479345	Serge Gruzinski	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
